date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,Loyola Chicago,Coppin St.,1,200,38,72,0.528,20,46,0.435,7,11,0.636,9,42,51,31,7,0,11,22,103,79.22,130.01
2021-11-09,SIUE,Marquette,-1,200,28,60,0.467,2,14,0.143,19,29,0.655,10,25,35,15,6,2,24,25,77,87.78,87.72
2021-11-09,Marquette,SIUE,1,200,30,68,0.441,7,26,0.269,21,29,0.724,12,21,33,19,9,5,14,25,88,83.78,105.04
2021-11-09,Kansas City,Minnesota,-1,200,22,51,0.431,5,18,0.278,7,10,0.7,3,22,25,13,2,5,12,21,56,64.75,86.49
2021-11-09,Minnesota,Kansas City,1,200,24,52,0.462,8,22,0.364,15,20,0.75,3,25,28,17,8,6,9,14,71,67.5,105.19
2021-11-09,Central Michigan,Missouri,-1,200,25,61,0.41,9,30,0.3,9,14,0.643,8,19,27,11,6,2,12,18,68,71.65,94.91
2021-11-09,Missouri,Central Michigan,1,200,27,61,0.443,9,27,0.333,15,22,0.682,16,23,39,14,6,4,10,16,78,65.45,119.17
2021-11-09,Southeast Missouri,Missouri St.,-1,200,32,56,0.571,8,19,0.421,27,34,0.794,4,25,29,10,6,2,11,26,99,79.15,125.08
2021-11-09,Missouri St.,Southeast Missouri,1,200,31,60,0.517,7,26,0.269,25,35,0.714,7,23,30,13,6,1,7,22,94,76.62,122.68
2021-11-09,Western Illinois,Nebraska,-1,200,30,77,0.39,9,33,0.273,6,14,0.429,22,33,55,11,7,1,17,25,75,78.65,95.36
2021-11-09,Nebraska,Western Illinois,1,199,23,59,0.39,5,20,0.25,23,31,0.742,6,29,35,6,8,3,12,18,74,79.72,92.82
2021-11-09,Bucknell,N.C. State,-1,200,29,63,0.46,9,31,0.29,3,4,0.75,6,24,30,14,1,1,17,17,70,75.9,92.23
2021-11-09,N.C. State,Bucknell,1,200,33,72,0.458,7,25,0.28,15,20,0.75,17,26,43,7,13,2,8,12,88,72.5,121.38
2021-11-09,Milwaukee,North Dakota,-1,200,23,53,0.434,6,15,0.4,23,30,0.767,2,34,36,11,5,7,8,20,75,73.25,102.39
2021-11-09,North Dakota,Milwaukee,1,200,20,69,0.29,8,29,0.276,12,14,0.857,9,31,40,10,3,1,10,21,60,76.65,78.28
2021-11-09,Nicholls,Northern Iowa,-1,200,25,51,0.49,5,18,0.278,7,18,0.389,6,30,36,8,4,0,9,25,62,62.55,99.12
2021-11-09,Northern Iowa,Nicholls,1,200,15,50,0.3,3,23,0.13,25,38,0.658,7,21,28,6,5,1,8,16,58,69.05,84.0
2021-11-09,Eastern Illinois,Northwestern,-1,199,19,51,0.373,6,20,0.3,12,16,0.75,4,27,31,13,1,8,19,17,56,73.6,76.09
2021-11-09,Northwestern,Eastern Illinois,1,200,28,69,0.406,8,22,0.364,16,22,0.727,11,26,37,19,16,6,5,16,80,73.45,108.92
2021-11-09,Northwestern St.,Oklahoma,-1,200,25,57,0.439,3,17,0.176,6,13,0.462,6,27,33,11,5,0,12,13,59,69.17,85.29
2021-11-09,Oklahoma,Northwestern St.,1,200,32,58,0.552,9,25,0.36,4,11,0.364,3,27,30,16,8,3,11,12,77,71.22,108.11
2021-11-09,UT Arlington,Oklahoma St.,-1,200,20,53,0.377,2,20,0.1,3,10,0.3,7,20,27,6,8,7,22,17,45,72.75,61.86
2021-11-09,Oklahoma St.,UT Arlington,1,200,33,71,0.465,9,25,0.36,13,17,0.765,19,31,50,20,15,3,12,13,88,72.08,122.1
2021-11-09,Pepperdine,Rice,-1,200,23,65,0.354,9,28,0.321,8,12,0.667,9,25,34,15,7,0,15,13,63,76.7,82.14
2021-11-09,Rice,Pepperdine,1,200,30,61,0.492,11,31,0.355,11,16,0.688,7,32,39,21,12,1,14,13,82,75.6,108.47
2021-11-09,Maryland Eastern Shore,Saint Joseph's,-1,200,27,67,0.403,10,21,0.476,3,6,0.5,10,26,36,13,9,2,11,18,67,70.85,94.57
